-1144.38	1976.93	602.912	3054.28
-1144.38	1976.93	603.948	3117.05
-1144.38	1976.93	604.983	3107.97
-1144.38	1976.93	606.018	3072.32
-1144.38	1976.93	607.053	3026.99
-1144.38	1976.93	608.088	3044.47
-1144.38	1976.93	609.122	2999.11
-1144.38	1976.93	610.156	3096.35
-1144.38	1976.93	611.191	3169.46
-1144.38	1976.93	612.224	3085.41
-1144.38	1976.93	613.258	3129.52
-1144.38	1976.93	614.292	2987.38
-1144.38	1976.93	615.325	3058.1
-1144.38	1976.93	616.358	3065.92
-1144.38	1976.93	617.391	3095.54
-1144.38	1976.93	618.424	3154.21
-1144.38	1976.93	619.456	3162.06
-1144.38	1976.93	620.489	3106.94
-1144.38	1976.93	621.521	3201.98
-1144.38	1976.93	622.553	3125.05
-1144.38	1976.93	623.585	3205.59
-1144.38	1976.93	624.616	3237.69
-1144.38	1976.93	625.648	3192.24
-1144.38	1976.93	626.679	3229.19
-1144.38	1976.93	627.71	3178.87
-1144.38	1976.93	628.741	3201.29
-1144.38	1976.93	629.771	3172.77
-1144.38	1976.93	630.802	3018.09
-1144.38	1976.93	631.832	3067.18
-1144.38	1976.93	632.862	3021.63
-1144.38	1976.93	633.892	3116.86
-1144.38	1976.93	634.922	3020.32
-1144.38	1976.93	635.951	3084.02
-1144.38	1976.93	636.981	2975.3
-1144.38	1976.93	638.01	3068.16
-1144.38	1976.93	639.039	3061.44
-1144.38	1976.93	640.067	3032.84
-1144.38	1976.93	641.096	3001.8
-1144.38	1976.93	642.124	3114.19
-1144.38	1976.93	643.152	3139.08
-1144.38	1976.93	644.18	3039.95
-1144.38	1976.93	645.208	3230.24
-1144.38	1976.93	646.236	3179.75
-1144.38	1976.93	647.263	3326.34
-1144.38	1976.93	648.29	3193.09
-1144.38	1976.93	649.317	3200.99
-1144.38	1976.93	650.344	3126.11
-1144.38	1976.93	651.371	3031.71
-1144.38	1976.93	652.397	3061.5
-1144.38	1976.93	653.424	3003.6
-1144.38	1976.93	654.45	3069.94
-1144.38	1976.93	655.476	3051.02
