,Number,Screen Size,Mo,Mf,mass,Xi,Di
0,40.0,425.0,0.37,0.381,0.01100000000000001,0.11111111111111117,425.0
1,60.0,250.0,0.347,0.387,0.040000000000000036,0.40404040404040426,337.5
2,80.0,180.0,0.336,0.364,0.02799999999999997,0.28282828282828243,265.0
3,100.0,150.0,0.331,0.338,0.007000000000000006,0.07070707070707075,165.0
4,140.0,106.0,0.315,0.318,0.0030000000000000027,0.03030303030303032,128.0
5,170.0,90.0,0.314,0.323,0.009000000000000008,0.09090909090909095,98.0
6,0.0,0.0,0.374,0.375,0.0010000000000000009,0.010101010101010107,45.0
