-1987.68	4242.78	602.912	11509.7
-1987.68	4242.78	603.948	11265.8
-1987.68	4242.78	604.983	11253.4
-1987.68	4242.78	606.018	11465.6
-1987.68	4242.78	607.053	11419.5
-1987.68	4242.78	608.088	11496.5
-1987.68	4242.78	609.122	11377.8
-1987.68	4242.78	610.156	11660.3
-1987.68	4242.78	611.191	11577.8
-1987.68	4242.78	612.224	11415.5
-1987.68	4242.78	613.258	11434.6
-1987.68	4242.78	614.292	11579.4
-1987.68	4242.78	615.325	11550.1
-1987.68	4242.78	616.358	11518.4
-1987.68	4242.78	617.391	11455.2
-1987.68	4242.78	618.424	11648.5
-1987.68	4242.78	619.456	11602.3
-1987.68	4242.78	620.489	11599.6
-1987.68	4242.78	621.521	11831.8
-1987.68	4242.78	622.553	11674.1
-1987.68	4242.78	623.585	12005.8
-1987.68	4242.78	624.616	12228.6
-1987.68	4242.78	625.648	12272.1
-1987.68	4242.78	626.679	12104.6
-1987.68	4242.78	627.71	11723.8
-1987.68	4242.78	628.741	11759.9
-1987.68	4242.78	629.771	11495.2
-1987.68	4242.78	630.802	11638.1
-1987.68	4242.78	631.832	11722.7
-1987.68	4242.78	632.862	11722.5
-1987.68	4242.78	633.892	11484.3
-1987.68	4242.78	634.922	11554.4
-1987.68	4242.78	635.951	11301.6
-1987.68	4242.78	636.981	11374.1
-1987.68	4242.78	638.01	11718.8
-1987.68	4242.78	639.039	11713.6
-1987.68	4242.78	640.067	11397.5
-1987.68	4242.78	641.096	11457.9
-1987.68	4242.78	642.124	11647.2
-1987.68	4242.78	643.152	11736.9
-1987.68	4242.78	644.18	11714.8
-1987.68	4242.78	645.208	12038
-1987.68	4242.78	646.236	12332.2
-1987.68	4242.78	647.263	12319.9
-1987.68	4242.78	648.29	12168.8
-1987.68	4242.78	649.317	11808.4
-1987.68	4242.78	650.344	11710.7
-1987.68	4242.78	651.371	11698.3
-1987.68	4242.78	652.397	11683.4
-1987.68	4242.78	653.424	11878
-1987.68	4242.78	654.45	11517.2
-1987.68	4242.78	655.476	11677.7
-1987.68	4242.78	656.501	11404.4
-1987.68	4242.78	657.527	11499.2
-1987.68	4242.78	658.552	11520.8
-1987.68	4242.78	659.577	11688.8
-1987.68	4242.78	660.602	11578.7
-1987.68	4242.78	661.627	11522.3
-1987.68	4242.78	662.652	11575.7
-1987.68	4242.78	663.676	11680.3
-1987.68	4242.78	664.7	11604.4
-1987.68	4242.78	665.724	11726.1
-1987.68	4242.78	666.748	11410.9
-1987.68	4242.78	667.771	11542.4
-1987.68	4242.78	668.795	11407.8
-1987.68	4242.78	669.818	11480.7
-1987.68	4242.78	670.841	11456
-1987.68	4242.78	671.864	11555.8
-1987.68	4242.78	672.887	11523.7
-1987.68	4242.78	673.909	11479.4
-1987.68	4242.78	674.931	11371.5
-1987.68	4242.78	675.954	11312.4
-1987.68	4242.78	676.976	11128.6
-1987.68	4242.78	677.997	11531.9
-1987.68	4242.78	679.019	11306.5
-1987.68	4242.78	680.04	11311
-1987.68	4242.78	681.061	11298.4
-1987.68	4242.78	682.082	11278.5
-1987.68	4242.78	683.103	11400.5
-1987.68	4242.78	684.124	11304.7
-1987.68	4242.78	685.144	11360.6
-1987.68	4242.78	686.164	11416.7
-1987.68	4242.78	687.184	11259.4
-1987.68	4242.78	688.204	11310.6
-1987.68	4242.78	689.224	11271
-1987.68	4242.78	690.243	11165.1
-1987.68	4242.78	691.263	11289.8
-1987.68	4242.78	692.282	11191.3
-1987.68	4242.78	693.301	11244.9
-1987.68	4242.78	694.319	11139
-1987.68	4242.78	695.338	11273.6
-1987.68	4242.78	696.356	11300.2
-1987.68	4242.78	697.374	11186.9
-1987.68	4242.78	698.392	11358.4
-1987.68	4242.78	699.41	11205.8
-1987.68	4242.78	700.428	11475.6
