Item,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),%Intensity,%Mass
Peak 1,1.47999e-008,162.794,325.587,83.4039,51.2329,0.262481,503464,94.0403,75.5745
Peak 2,2.18005e-009,1105.18,2210.35,320.29,28.981,0.0839896,44483500,5.95973,24.4255
